pitch_id,game_date,game_pk,game_type,at_bat_number,pitch_number,inning,inning_topbot,outs_when_up,home_team,away_team,player_name,pitcher,batter,stand,p_throws,balls,strikes,count,pitcher_advantage_count,is_two_strike,is_first_pitch,times_through_order,pitch_type,pitch_name,pitch_name_raw,description,events,type,bb_type,is_strike,is_swing,is_contact,is_whiff,is_csw,is_in_zone,is_chase,zone,release_speed,effective_speed,release_spin_rate,release_extension,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,sz_top,sz_bot,arm_angle,launch_speed,launch_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,delta_run_exp,bat_speed,swing_length,is_hard_hit,home_score,away_score,bat_score,fld_score,has_video,video_url,video_level,video_notes
824394_3_1,2026-08-19,824394,R,3,1,1,Top,2,CLE,SF,"Messick, Parker",800048,642715,R,L,0,0,0-0,False,False,True,1,FF,Four-Seam Fastball,4-Seam Fastball,called_strike,none,S,none,True,False,False,False,True,True,False,4,95.6,97.1,2226,7.0,0.92,53.53,5.46,0.3,1.36,-0.48353919,2.236375636,3.22351542,1.626820866,45.5,,,,,,,-0.043,,,False,0,0,0,0,True,https://www.mlb.com/video/parker-messick-called-strike-to-willy-adames?partnerId=web_multimedia-search_video-share,Pitch,
824394_2_4,2026-08-19,824394,R,2,4,1,Top,1,CLE,SF,"Messick, Parker",800048,646240,L,L,2,1,2-1,False,False,False,1,SI,Sinker,Sinker,hit_into_play,field_out,X,ground_ball,False,True,True,False,False,True,False,6,94.2,95.4,2084,6.8,1.1,53.69,5.38,0.96,0.78,0.54772735,2.185185663,3.217372047,1.623720472,41.1,89.6,-3.0,25.0,0.263,0.243,0.0,-0.311,74.1,7.4,False,0,0,0,0,True,https://www.mlb.com/video/rafael-devers-grounds-out-second-baseman-travis-bazzana-to-first-baseman-?partnerId=web_multimedia-search_video-share,Pitch,
824394_2_3,2026-08-19,824394,R,2,3,1,Top,1,CLE,SF,"Messick, Parker",800048,646240,L,L,1,1,1-1,False,False,False,1,FF,Four-Seam Fastball,4-Seam Fastball,ball,none,B,none,False,False,False,False,False,False,False,13,96.2,97.4,2224,6.9,1.04,53.55,5.38,0.35,1.33,-1.597454418,1.652580715,3.217372047,1.623720472,40.8,,,,,,,0.057,,,False,0,0,0,0,True,https://www.mlb.com/video/parker-messick-ball-to-rafael-devers-pvlwuj?partnerId=web_multimedia-search_video-share,Pitch,
824394_2_2,2026-08-19,824394,R,2,2,1,Top,1,CLE,SF,"Messick, Parker",800048,646240,L,L,0,1,0-1,True,False,False,1,SL,Slider,Slider,ball,none,B,none,False,False,False,False,False,False,False,13,87.7,88.7,2475,6.7,0.86,53.81,5.5,-0.57,0.37,-1.511170885,1.738798684,3.217372047,1.623720472,46.0,,,,,,,0.033,,,False,0,0,0,0,True,https://www.mlb.com/video/parker-messick-ball-to-rafael-devers?partnerId=web_multimedia-search_video-share,Pitch,
824394_2_1,2026-08-19,824394,R,2,1,1,Top,1,CLE,SF,"Messick, Parker",800048,646240,L,L,0,0,0-0,False,False,True,1,FF,Four-Seam Fastball,4-Seam Fastball,swinging_strike,none,S,none,True,True,False,True,True,True,False,3,95.3,96.4,2118,6.6,1.14,53.86,5.48,0.33,1.29,0.785016259,3.033033015,3.217372047,1.623720472,45.4,,,,,,,-0.041,72.6,7.3,False,0,0,0,0,True,https://www.mlb.com/video/parker-messick-swinging-strike-to-rafael-devers?partnerId=web_multimedia-search_video-share,Pitch,
824394_1_5,2026-08-19,824394,R,1,5,1,Top,0,CLE,SF,"Messick, Parker",800048,813841,R,L,2,2,2-2,False,True,False,1,FF,Four-Seam Fastball,4-Seam Fastball,swinging_strike,strikeout,S,none,True,True,False,True,True,True,False,6,96.7,97.8,2117,6.6,1.01,53.88,5.42,0.36,1.17,0.766898205,2.360263797,3.29109252,1.660925197,45.9,,,,,0.0,0.0,-0.232,71.2,6.5,False,0,0,0,0,True,https://www.mlb.com/video/jonah-cox-strikes-out-swinging-fraofy?partnerId=web_multimedia-search_video-share,Pitch,
824394_1_4,2026-08-19,824394,R,1,4,1,Top,0,CLE,SF,"Messick, Parker",800048,813841,R,L,1,2,1-2,True,True,False,1,CH,Changeup,Changeup,ball,none,B,none,False,False,False,False,False,False,False,13,86.3,86.4,1876,6.5,1.02,54.02,5.42,1.17,0.18,-0.735011075,0.057617109,3.29109252,1.660925197,36.9,,,,,,,0.047,,,False,0,0,0,0,True,https://www.mlb.com/video/parker-messick-ball-to-jonah-cox-arj6gv?partnerId=web_multimedia-search_video-share,Pitch,
824394_1_3,2026-08-19,824394,R,1,3,1,Top,0,CLE,SF,"Messick, Parker",800048,813841,R,L,1,1,1-1,False,False,False,1,FF,Four-Seam Fastball,4-Seam Fastball,foul,none,S,none,True,True,True,False,False,True,False,2,94.9,95.9,2183,6.6,0.94,53.87,5.5,0.45,1.22,-0.080058792,2.992158422,3.29109252,1.660925197,44.0,92.3,47.0,295.0,,,,-0.061,67.5,5.8,False,0,0,0,0,True,https://www.mlb.com/video/parker-messick-foul-to-jonah-cox?partnerId=web_multimedia-search_video-share,Pitch,
824394_1_2,2026-08-19,824394,R,1,2,1,Top,0,CLE,SF,"Messick, Parker",800048,813841,R,L,1,0,1-0,False,False,False,1,FF,Four-Seam Fastball,4-Seam Fastball,foul_tip,none,S,none,True,True,True,False,False,True,False,4,94.4,95.2,2201,6.8,0.87,53.7,5.5,0.28,1.61,-0.499752192,2.782508515,3.29109252,1.660925197,47.5,,,,,,,-0.056,70.1,6.3,False,0,0,0,0,True,https://www.mlb.com/video/parker-messick-foul-tip-to-jonah-cox?partnerId=web_multimedia-search_video-share,Pitch,
824394_1_1,2026-08-19,824394,R,1,1,1,Top,0,CLE,SF,"Messick, Parker",800048,813841,R,L,0,0,0-0,False,False,True,1,FF,Four-Seam Fastball,4-Seam Fastball,ball,none,B,none,False,False,False,False,False,False,False,12,94.3,94.5,2165,6.5,0.96,53.97,5.5,0.32,1.61,0.821104358,4.201035884,3.29109252,1.660925197,43.5,,,,,,,0.044,,,False,0,0,0,0,True,https://www.mlb.com/video/parker-messick-ball-to-jonah-cox?partnerId=web_multimedia-search_video-share,Pitch,
824238_45_7,2026-08-13,824238,R,45,7,6,Bot,2,DET,CLE,"Messick, Parker",800048,679529,R,L,3,2,3-2,False,True,False,3,FF,Four-Seam Fastball,4-Seam Fastball,ball,walk,B,none,False,False,False,False,False,False,False,13,97.1,97.6,2320,6.7,0.87,53.78,5.21,0.57,1.33,-1.128410934,1.44443082,3.232291667,1.63125,44.1,,,,,0.698089,0.7,0.294,,,False,2,0,2,0,True,https://www.mlb.com/video/spencer-torkelson-walks-eszfe6?partnerId=web_multimedia-search_video-share,Pitch,
824238_45_6,2026-08-13,824238,R,45,6,6,Bot,2,DET,CLE,"Messick, Parker",800048,679529,R,L,2,2,2-2,False,True,False,3,FF,Four-Seam Fastball,4-Seam Fastball,ball,none,B,none,False,False,False,False,False,False,False,11,97.0,97.6,2253,6.6,0.97,53.93,5.23,0.4,1.44,-0.67803308,4.174723385,3.232291667,1.63125,48.4,,,,,,,0.081,,,False,2,0,2,0,True,https://www.mlb.com/video/parker-messick-ball-to-spencer-torkelson-rgluyc?partnerId=web_multimedia-search_video-share,Pitch,
824238_45_5,2026-08-13,824238,R,45,5,6,Bot,2,DET,CLE,"Messick, Parker",800048,679529,R,L,2,2,2-2,False,True,False,3,FF,Four-Seam Fastball,4-Seam Fastball,foul,none,S,none,True,True,True,False,False,True,False,3,96.7,97.5,2298,6.6,1.06,53.94,5.23,0.26,1.17,0.341009322,3.279537068,3.232291667,1.63125,38.8,85.5,9.0,138.0,,,,0.0,67.5,6.1,False,2,0,2,0,True,https://www.mlb.com/video/parker-messick-foul-to-spencer-torkelson-kohnbd?partnerId=web_multimedia-search_video-share,Pitch,
824238_45_4,2026-08-13,824238,R,45,4,6,Bot,2,DET,CLE,"Messick, Parker",800048,679529,R,L,2,1,2-1,False,False,False,3,SI,Sinker,Sinker,called_strike,none,S,none,True,False,False,False,True,True,False,7,95.1,95.9,2279,6.7,1.05,53.85,5.16,1.21,1.0,-0.449085104,1.89350281,3.232291667,1.63125,42.6,,,,,,,-0.079,,,False,2,0,2,0,True,https://www.mlb.com/video/parker-messick-called-strike-to-spencer-torkelson-oxyupr?partnerId=web_multimedia-search_video-share,Pitch,
824238_45_3,2026-08-13,824238,R,45,3,6,Bot,2,DET,CLE,"Messick, Parker",800048,679529,R,L,1,1,1-1,False,False,False,3,CH,Changeup,Changeup,ball,none,B,none,False,False,False,False,False,False,False,14,86.1,86.7,1863,6.4,1.37,54.08,5.19,1.23,0.07,1.509376485,1.287769532,3.232291667,1.63125,38.1,,,,,,,0.055,,,False,2,0,2,0,True,https://www.mlb.com/video/parker-messick-ball-to-spencer-torkelson-zdmuoc?partnerId=web_multimedia-search_video-share,Pitch,
824238_45_2,2026-08-13,824238,R,45,2,6,Bot,2,DET,CLE,"Messick, Parker",800048,679529,R,L,1,0,1-0,False,False,False,3,CH,Changeup,Changeup,foul,none,S,none,True,True,True,False,False,True,False,6,87.1,87.5,1981,6.4,1.25,54.14,5.19,1.2,0.34,0.464992452,2.337506572,3.232291667,1.63125,35.6,29.8,5.0,14.0,,,,-0.054,68.1,8.2,False,2,0,2,0,True,https://www.mlb.com/video/parker-messick-foul-to-spencer-torkelson-kk4lta?partnerId=web_multimedia-search_video-share,Pitch,
824238_45_1,2026-08-13,824238,R,45,1,6,Bot,2,DET,CLE,"Messick, Parker",800048,679529,R,L,0,0,0-0,False,False,True,3,SI,Sinker,Sinker,ball,none,B,none,False,False,False,False,False,False,False,14,94.7,95.5,2212,6.6,1.02,53.86,5.22,1.21,0.73,1.007441811,1.267049588,3.232291667,1.63125,39.9,,,,,,,0.04,,,False,2,0,2,0,True,https://www.mlb.com/video/parker-messick-ball-to-spencer-torkelson-wlnovg?partnerId=web_multimedia-search_video-share,Pitch,
